"","ID","OutcomeType","AnimalType","HasName","AgeinDays","IsMix","SimpleColor","IsNeutered","Gender"
"3","A686464","Adoption","Dog",1,"Less than 2 years",1,4,1,"M"
"4","A683430","Transfer","Cat",0,"Less than a year",1,4,0,"M"
"6","A677334","Transfer","Dog",1,"Less than a year",1,3,0,"F"
"9","A671784","Adoption","Dog",1,"Less than a year",1,18,1,"F"
"12","A666320","Adoption","Dog",0,"Less than 2 years",1,22,1,"F"
"13","A684601","Adoption","Dog",1,"Over 3 years",1,5,1,"M"
"16","A678825","Adoption","Cat",1,"Less than a year",1,17,1,"M"
"17","A678050","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"18","A680028","Transfer","Dog",0,"Less than a year",1,5,0,"F"
"19","A679010","Transfer","Cat",1,"Less than 2 years",1,27,0,"F"
"21","A670658","Transfer","Dog",1,"Less than a year",1,3,0,"M"
"22","A708812","Transfer","Cat",1,"Less than a year",1,27,1,"F"
"23","A705262","Adoption","Dog",1,"Less than 2 years",1,5,1,"F"
"24","A665781","Adoption","Dog",1,"Less than a year",1,5,1,"M"
"25","A676333","Return_to_owner","Dog",1,"Less than a year",1,3,1,"M"
"26","A712750","Transfer","Cat",1,"Less than a year",1,17,0,"F"
"27","A718832","Adoption","Dog",1,"Less than a year",1,8,1,"F"
"28","A698777","Adoption","Dog",1,"Over 3 years",1,27,1,"F"
"29","A715348","Adoption","Cat",1,"Less than a year",1,9,1,"F"
"30","A708666","Return_to_owner","Cat",1,"Over 3 years",1,4,1,"M"
"31","A718535","Euthanasia","Cat",0,"Less than 3 years",1,7,1,"F"
"32","A707341","Transfer","Dog",1,"Less than a year",1,3,0,"M"
"33","A682532","Adoption","Cat",0,"Less than a year",1,24,1,"F"
"34","A666825","Return_to_owner","Dog",1,"Over 3 years",1,5,1,"M"
"35","A699723","Transfer","Dog",1,"Less than 3 years",1,5,1,"M"
"36","A668626","Euthanasia","Dog",0,"Less than 3 years",1,28,0,"M"
"37","A657085","Return_to_owner","Dog",1,"Less than 3 years",1,5,1,"M"
"38","A682413","Transfer","Cat",0,"Less than a year",1,4,0,"M"
"39","A702655","Transfer","Cat",1,"Less than a year",1,3,1,"M"
"41","A697199","Adoption","Cat",1,"Over 3 years",1,4,1,"F"
"43","A668388","Transfer","Cat",1,"Less than a year",1,5,0,"F"
"44","A671181","Transfer","Cat",0,"Over 3 years",1,3,0,"M"
"45","A676766","Adoption","Cat",1,"Less than 2 years",1,3,1,"M"
"46","A686716","Return_to_owner","Dog",1,"Over 3 years",0,26,1,"M"
"49","A697852","Adoption","Dog",1,"Less than a year",1,3,1,"F"
"50","A666092","Euthanasia","Dog",0,"Over 3 years",1,8,0,"M"
"51","A684050","Transfer","Cat",0,"Less than a year",1,25,0,"F"
"52","A710107","Adoption","Cat",1,"Less than a year",1,5,1,"F"
"56","A712979","Transfer","Cat",0,"Less than a year",1,3,0,"M"
"57","A707687","Adoption","Cat",1,"Less than a year",1,7,1,"F"
"58","A683443","Transfer","Dog",0,"Less than a year",1,23,0,"M"
"59","A597644","Return_to_owner","Dog",1,"Over 3 years",1,23,1,"F"
